KO-1	KO-2	KO-3	N-1	N-2	N-3	OT1-2	OT1-3	OT1-4	SV40-3	SV40-4	SV40-5	WT-2	WT-3	WT-5
RP24-420A20.8	17	11	14	48	44	3	24	24	4	13	8	5	2	2	1
Gm25190	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0
RP24-420A20.4	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0
RP24-284M17.2	2	2	5	4	0	1	3	0	1	0	0	2	3	1	1
RP24-284M17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-284M17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-284M17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-284M17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myrfl	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab3ip	155	251	438	2193	2100	1547	119	90	81	159	150	344	107	85	187
RP23-413G8.2	864	844	1101	1433	1040	963	937	394	927	1383	1497	1849	948	895	1018
Gm10271	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0
RP23-58B7.1	0	0	0	1	0	0	0	0	1	41	10	0	0	0	0
RP23-58B7.2	46	50	74	40	43	40	56	15	47	27	33	24	39	28	23
Best3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP23-58B7.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cct2	14935	16565	19177	9711	8390	9830	9659	9175	9924	7881	10445	8930	15111	16563	10798
Frs2	362	341	366	1429	770	2448	738	1149	1042	262	1402	1001	74	245	468
RP24-208F10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yeats4	1085	920	1406	814	634	460	651	1105	236	995	557	440	1161	1342	1015
RP24-208F10.4	0	0	1	2	0	0	2	0	0	0	0	0	0	0	1
RP24-208F10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-326O5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Lyz2	59310	299665	30133	5418	2482	1482	9619	12728	26303	824	42335	35471	148760	119569	125857
Lyz1	24	275	6	14	1	20	21	2	3	0	8	12	153	86	146
Cpsf6	3829	5227	6580	4462	3451	4266	5239	4948	5202	2496	4055	3972	4042	6349	4762
RP23-326O5.4	0	0	10	1	7	0	3	14	1	0	0	1	3	0	7
RP23-326O5.5	0	0	0	0	0	0	2	1	0	16	16	10	0	8	0
RP23-326O5.2	0	1	1	0	0	1	1	0	2	1	0	0	1	0	0
RP23-326O5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-181A24.4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RP23-181A24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kifc5c-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
RP23-181A24.6	0	2	2	0	0	0	0	0	0	0	0	0	3	1	0
Cpm	1193	2358	2403	6130	4764	9388	1239	1176	1148	8	136	74	1252	812	56
Gm25709	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdm2	772	2073	1427	2018	1078	2003	2298	4101	1554	1374	1993	1449	967	1367	1714
Slc35e3	135	149	2	1	90	97	164	112	76	21	27	32	25	42	26
Nup107	2866	6666	4682	4500	3171	4498	4295	4075	2812	2720	1993	2766	6092	7216	3980
RP23-186D15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rap1b	1093	1362	2272	1618	1728	1656	3242	4024	2755	404	1309	664	1056	1615	974
RP23-186D15.6	0	3	1	14	5	15	13	8	0	0	0	0	0	0	0
RP23-186D15.7	1	27	55	117	167	73	18	69	9	0	0	0	0	0	0
RP24-421I12.1	0	0	40	0	0	16	5	16	0	0	0	0	11	0	0
RP24-130G2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-354M22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdm1	293	913	641	368	444	48	433	681	503	344	497	796	791	1110	701
RP24-354M22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-468J15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-468J15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-468J15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-468J15.5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP23-468J15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-468J15.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iltifb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-211K19.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-211K19.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-211K19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-211K19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-211K19.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-211K19.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifng	21212	14981	16026	2	3	3	2201	2361	1342	1101	1719	1050	4503	5155	660
RP23-353P23.2	69	10	12	0	0	0	125	74	160	75	65	32	9	22	4
Tmevpg1	2441	730	3273	37	20	64	332	661	395	0	0	0	87	88	3
RP24-570M12.2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
RP24-570M12.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP24-570M12.3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
RP24-570M12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk2	100	202	314	743	673	638	205	383	541	57	206	258	47	33	62
RP23-282M20.1	2	0	0	4	20	43	20	38	7	0	2	0	0	0	9
RP23-282M20.5	0	0	0	38	16	40	43	17	1	0	0	0	0	3	2
RP23-282M20.2	3	0	1	1	0	1	0	1	0	0	0	1	1	5	2
RP23-282M20.6	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
RP23-360L4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-360L4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-360L4.4	4	2	1	0	1	0	1	0	0	0	3	0	0	1	2
RP23-360L4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-360L4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-502H14.1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Cand1	536	950	904	862	912	600	640	747	580	590	621	580	568	1032	561
RP24-279D11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-279D11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-528H20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-528H20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grip1os3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-528H20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grip1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
RP24-528H20.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-528H20.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-528H20.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-74G10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-74G10.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Grip1os2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grip1os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helb	305	578	693	2118	1168	1653	770	1041	1304	320	579	1357	359	351	762
Irak3	34	306	34	10	17	33	7	8	15	0	40	8	105	51	123
RP23-402N21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmbim4	3242	2112	2569	2655	4121	1745	2486	1774	2600	3012	4991	4315	2687	2769	2276
Llph	758	571	991	355	316	326	590	638	456	474	618	469	681	750	341
RP23-57A16.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-57A16.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-57A16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmga2	0	2	1	0	0	1	2	5	0	0	3	1	0	0	0
RP23-57A16.1	0	24	0	0	0	0	0	0	0	0	0	0	33	0	2
RP23-57A16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-240E7.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-502G8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-502G8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-502G8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-502G8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-455J6.5	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
Msrb3	0	39	0	0	0	0	0	12	27	0	22	13	0	0	34
RP23-455J6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-455J6.2	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0
RP23-455J6.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Lemd3	12	3	91	64	74	144	55	133	78	0	10	4	76	53	28
AC140381.2	1	0	2	2	2	2	1	0	0	0	0	0	0	0	0
Gm23632	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
RP23-176M4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wif1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-176M4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-124N8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-124N8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-124N8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-396P4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d30	32	69	88	12	10	2	2	29	2	27	15	6	11	43	26
RP23-316F10.2	3	0	1	4	2	0	0	0	0	0	1	2	0	3	2
RP23-316F10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gns	262	766	110	410	343	388	602	549	465	726	1150	950	420	461	488
RP23-316F10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rassf3	68	183	154	24	134	203	30	114	44	4	116	28	65	72	84
RP23-316F10.6	0	0	0	11	12	2	0	2	0	0	7	0	0	1	0
RP24-280K5.1	1	29	1	0	0	0	0	1	23	0	3	0	17	0	16
RP24-280K5.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-280K5.4	0	5	0	0	0	0	3	0	0	0	0	0	8	1	0
Tbk1	314	1385	501	1988	1495	2645	892	2731	1827	364	1788	1243	605	691	1003
Xpot	470	1680	1295	622	496	575	766	643	411	620	581	532	786	933	510
Gm24330	0	0	0	5	14	1	0	1	2	0	9	5	0	0	0
AC124992.1	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0
RP23-149L10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-149L10.1	145	257	155	214	189	377	179	237	303	89	320	218	103	82	39
Srgap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-345J24.2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
RP24-186E11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-186E11.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-186E11.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem5	227	322	261	279	318	186	258	409	200	298	333	207	267	288	238
RP23-136O17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-136O17.1	34	23	36	21	19	11	17	18	22	21	19	31	45	64	23
RP23-136O17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-105I7.4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
RP24-105I7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avpr1a	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
RP24-105I7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-222H7.2	0	0	0	0	0	23	0	0	0	0	0	19	0	6	0
Mir6412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppm1h	845	1099	1247	1516	1869	1945	1032	819	1176	1742	2851	2444	1201	1528	2919
Mir8104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-198I16.4	26	17	27	22	45	4	3	27	0	9	2	20	16	24	29
RP24-198I16.5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-198I16.6	10	1	0	17	5	3	3	3	0	4	0	2	0	1	3
RP23-182J19.2	4	0	3	0	1	0	0	0	3	0	4	4	0	3	2
Mirlet7i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mon2	206	364	545	428	249	343	435	765	527	293	459	631	212	373	256
Usp15	137	89	61	993	1206	1545	307	713	1345	157	533	531	153	261	291
RP24-328C19.5	0	0	7	0	0	0	0	7	0	0	0	0	7	0	1
RP24-328C19.1	6	1	0	0	0	0	5	1	1	0	1	0	0	3	0
Gm27920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam19a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-427I4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-459B19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-226B10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-16F5.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm23777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-401G4.1	6	3	5	11	1	23	0	0	4	4	3	5	6	7	4
RP24-472F16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-472F16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-8P5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a7	0	186	0	0	0	19	0	21	73	0	15	0	0	18	105
RP23-58C12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-403C13.1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1
RP23-403C13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrig3	0	3	0	7	0	0	0	6	2	0	4	0	0	0	0
Gm22183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-502M22.1	2	1	1	5	3	1	0	0	2	0	0	0	0	0	0
RP24-502M22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-246C16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-96G7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-96G7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir378d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-96G7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-462H23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-462H23.2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Gm24179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc6bp1	55	54	34	74	76	24	78	28	16	252	41	75	157	124	67
RP24-361O20.1	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0
RP24-310D17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-310D17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctdsp2	785	1415	909	2487	1799	2009	966	1030	1326	2744	3167	2333	906	418	1815
Mir26a-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avil	0	0	0	0	0	1	0	1	18	32	7	1	35	53	0
Tsfm	4167	2650	4160	2237	2668	2028	2430	1822	2524	2257	2909	2893	3355	3371	2146
Mettl21b	0	0	4	0	0	0	0	1	2	0	0	0	1	0	5
Mettl1	1290	1354	2335	1298	1598	994	687	584	767	377	589	359	1008	921	382
Cyp27b1	0	19	4	48	0	43	0	0	0	0	0	0	0	0	0
March9	8	8	47	3	11	27	21	10	38	27	56	84	17	28	2
Cdk4	29473	26167	36794	23058	19629	18480	22311	14388	24534	15220	18071	15794	33103	33979	17638
Tspan31	8000	10393	8827	5004	4027	4023	9191	7316	10717	2068	2128	1383	8556	5647	2444
RP24-310D17.9	61	28	25	14	75	51	62	25	51	7	2	0	52	22	22
Agap2	197	104	215	338	367	283	424	236	352	453	470	414	134	164	183
Os9	22383	30263	25702	27839	19658	24705	35447	25828	36450	54597	55460	56132	24949	21378	36915
RP24-220M2.3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7
Gm23664	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
B4galnt1	79905	100465	101578	119569	81292	106769	93969	71019	93468	101296	76111	68133	58112	55894	48931
Slc26a10	1325	1290	1545	977	1085	1160	1340	975	1218	1310	1731	1117	627	761	600
Arhgef25	20	24	7	0	0	31	38	0	2	140	40	49	50	86	40
Dtx3	2598	2570	2843	1422	1074	1640	1617	1805	1949	8460	8236	8230	2459	1476	2739
RP24-341K21.12	24	21	1	21	0	0	14	13	6	13	5	13	4	3	21
Pip4k2c	2811	3210	2339	2700	1874	3695	2985	2800	3625	3641	6526	5213	1881	1675	2787
Kif5a	33	15	0	0	0	0	0	1	62	8	19	8	97	6	134
Dctn2	9745	9628	10002	10557	8067	9774	7839	8778	10409	13896	18020	15874	9946	8188	10680
Mbd6	194	228	114	211	196	158	165	211	233	302	249	240	124	124	155
RP24-341K21.5	6	4	5	6	10	1	6	2	2	0	1	1	0	2	2
RP24-341K21.6	4	6	7	9	9	3	4	1	0	8	7	8	2	8	2
Ddit3	1091	629	1089	1176	2412	1199	1976	1451	2058	1118	1604	2323	546	448	991
RP24-341K21.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mars	12604	18538	15180	14734	9631	13900	12935	9193	12788	9723	11459	8633	15290	13235	9942
RP24-213L12.1	23	18	35	15	17	5	9	9	13	20	13	14	43	50	24
Arhgap9	2493	2085	2613	2097	2272	1628	1328	1864	1721	10643	4485	3450	3644	2608	2037
Gli1	3	0	0	36	3	1	0	0	12	0	0	0	2	1	0
RP24-213L12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhbe	0	0	4	1	0	0	0	1	32	0	2	0	0	0	0
Inhbc	0	37	0	0	0	0	6	48	97	0	17	0	0	0	0
R3hdm2	98	264	595	317	297	207	175	447	375	647	336	412	139	169	217
Gm23819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stac3	3	7	0	0	8	0	0	0	24	0	0	23	0	6	0
Ndufa4l2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	5
Shmt2	21955	31093	31759	21919	15399	19710	14146	9277	14540	12222	11710	11447	27184	24945	12681
Nxph4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Lrp1	911	7007	274	395	115	131	381	284	381	2	1141	664	2423	1870	2945
AC133190.1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
RP24-492D11.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Stat6	22422	44236	25830	51020	28599	44039	33231	27618	32432	29836	34949	26148	20419	16479	24633
Nab2	3457	6737	4760	2301	1359	2209	241	459	401	2744	3574	2738	3756	2800	1443
RP24-492D11.3	1	8	0	0	0	0	0	0	0	0	0	1	0	5	0
Tmem194	502	997	1018	1014	760	1143	853	775	587	597	852	683	902	1103	948
RP24-492D11.5	0	0	2	0	12	7	0	0	0	14	4	21	17	5	6
Myo1a	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tac2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb39	22	51	39	55	74	42	19	41	22	38	33	222	25	20	26
Gpr182	0	36	0	0	0	0	0	1	114	16	8	2	42	6	22
Rdh1	0	0	0	0	7	0	0	0	21	0	0	0	0	0	0
RP23-386P10.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rdh9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Rdh16	1	0	0	0	0	0	0	7	74	0	84	0	0	0	0
Rdh18-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rdh19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-386P10.4	0	0	0	0	0	0	0	6	34	0	33	0	0	0	0
Rdh7	2	19	2	1	0	0	1	437	807	0	984	24	0	8	10
Sdr9c7	0	0	0	0	0	0	0	1	46	0	3	0	0	0	0
RP23-386P10.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-386P10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-386P10.12	0	0	0	1	0	1	2	0	1	1	2	3	1	0	1
Hsd17b6	0	2	0	0	0	0	25	282	497	2	227	0	0	0	5
RP24-547N4.5	51	26	64	27	54	26	25	14	28	15	26	26	22	41	18
Prim1	1660	1489	2027	1094	586	793	633	1031	840	546	754	740	2892	4408	2329
Naca	15363	7804	18492	9966	14996	7286	7498	5628	8083	3702	7897	5466	9432	11060	5181
Ptges3	320	647	955	395	422	262	490	570	628	466	520	226	625	794	281
RP24-547N4.7	20	23	16	35	17	3	7	22	33	5	13	5	3	16	5
Atp5b	122506	141382	156070	111870	95222	103116	87562	73068	79831	69782	77200	49590	113802	112340	84177
Snord59a	3	3	3	7	3	3	4	1	3	1	9	2	0	3	2
Mir677	6	2	3	8	3	6	3	2	5	0	3	1	2	6	2
Baz2a	1294	2918	1992	4549	3187	4784	3880	3773	4745	2216	4590	4543	1017	1285	2770
Rbms2	1913	2278	2088	2256	1881	2377	3082	1783	2926	3627	5138	5381	2033	1989	2732
RP24-151D9.9	1	0	2	1	1	0	0	0	0	0	1	0	1	0	0
Gls2	42	51	2	27	0	73	7	65	128	9	143	17	17	0	23
Spryd4	1247	1687	2026	2374	2027	1781	1575	1497	1243	1410	1563	1232	1287	1105	981
Mip	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Gm26847	4	1	2	3	2	0	1	3	3	1	0	1	1	5	5
Timeless	2773	4203	4186	2839	2101	2942	1915	1122	1299	915	492	700	5411	5500	4781
Apon	0	4	0	0	23	18	6	116	256	42	278	0	0	14	17
Apof	28	45	1	10	0	0	25	296	925	1	437	26	31	0	4
Stat2	2723	6770	2152	6329	3297	5211	4481	4195	4504	3967	3743	3911	1916	2175	6629
Il23a	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm23241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pan2	2188	4425	2221	3685	2751	5061	2736	2985	2993	3942	3641	3338	3013	2630	4625
Cnpy2	4526	2218	4452	3232	5273	3152	2109	1674	2427	3278	4808	3936	3012	3134	3290
Cs	25349	31720	28506	25952	17063	24906	23454	17465	23381	20526	24611	20919	32418	32303	21555
Gm23182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq10a	582	370	574	474	616	554	536	473	347	736	790	750	415	447	427
Ankrd52	193	430	117	55	24	76	114	199	89	193	169	266	310	470	318
Gm26308	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Mir6914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT7-BM104O10.3	3	0	19	3	0	2	4	1	7	4	1	4	5	5	1
Slc39a5	40	27	5	0	0	19	1	1	3	345	396	104	128	84	577
Nabp2	6182	3456	6230	3497	3931	2687	4243	3315	4252	4961	7186	6214	4737	5230	3912
Gm25361	0	2	0	9	10	5	0	8	13	20	49	35	5	4	31
Rnf41	3345	5630	3954	6143	3735	5358	4657	3128	4588	5570	6392	6550	4779	3457	5028
Gm26347	0	7	2	0	0	2	0	0	0	6	0	19	0	0	2
Mir8105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarcc2	3207	8318	4634	8157	5411	9136	7934	8407	9355	6900	7964	9194	3418	4683	6907
Myl6	29433	12451	26580	17916	25280	10988	20817	12565	19258	13381	18682	15745	17316	18692	12238
Myl6b	100	30	73	261	172	179	301	151	181	63	43	92	50	13	142
A430046D13Rik	472	722	550	640	453	560	1281	811	1163	664	561	655	307	193	453
Esyt1	13237	17060	16185	21548	11336	14982	20469	22824	12914	37544	15661	10884	22739	18399	14066
Mir6916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-116B8.1	14	20	15	32	12	16	18	28	19	32	34	16	12	3	8
Zc3h10	2920	3325	4024	5489	4034	4729	4239	3170	4583	3782	4399	4115	1968	1980	3286
Rpl41	18081	6579	20109	13488	26981	8246	7078	4508	7965	3826	6896	5840	9301	10560	4440
RP23-405K2.6	1	2	3	0	0	0	3	0	0	0	0	2	1	2	0
Pa2g4	6230	5881	9702	4121	3606	3412	3202	2479	3795	1631	3264	2374	5116	6380	2619
Gm47275	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Erbb3	767	1208	158	285	207	566	1068	1121	1238	1091	1340	1406	526	632	958
Mir6917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-405K2.7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP23-405K2.10	3	5	2	5	0	8	3	2	1	5	1	2	3	1	6
Rps26	9014	3101	9283	6384	13620	3995	2871	1989	3623	1841	3455	3110	4358	5327	2666
Ikzf4	20	95	86	129	24	113	96	0	112	882	1842	1337	152	154	1348
RP23-405K2.8	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0
RP23-405K2.11	0	0	1	0	0	6	0	0	0	7	1	0	4	0	1
Suox	4395	3815	4054	7384	5308	5251	3606	2427	3424	12058	15544	10537	5785	4876	9859
Rab5b	987	1902	1006	2515	2210	3271	1905	1641	2453	2144	4347	4382	859	935	1717
Cdk2	5523	7459	6195	4134	2244	4060	3782	3085	3908	3600	5760	4993	11508	11448	7627
Pmel	143	110	191	268	194	335	87	53	79	14	82	116	105	124	93
Dgka	18548	27384	27729	64451	44221	59959	21701	23527	22349	9966	10803	8349	8742	9703	8742
Pym1	1444	1018	1497	1489	1434	1262	1164	966	1253	793	943	993	801	912	747
RP23-438J1.5	114	71	130	132	147	85	68	38	89	37	70	44	72	72	36
RP23-438J1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp19	0	579	0	3	0	0	0	9	11	3	56	3	159	71	233
Tmem198b	395	677	227	715	338	490	375	241	163	972	368	323	441	294	695
Dnajc14	6784	11585	7930	10877	7160	10717	14465	11720	11247	15930	15862	16699	7234	7562	12345
Sarnp	3218	1617	3989	2465	2949	1692	2765	2474	2744	1384	3119	1738	2473	3196	1991
Ormdl2	2354	1746	3035	1793	2014	1327	2130	1257	1759	1529	2156	1952	1954	2228	1286
Gdf11	112	53	130	56	65	57	216	194	244	275	542	292	49	75	109
Cd63	518	1153	78	147	45	16	127	92	469	32	474	152	1171	307	371
Rdh5	0	49	131	151	136	132	108	87	74	118	59	135	56	6	93
